Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x
0.12600,0.05000,1.52287,0.00000,1.62287
0.12700,0.05000,1.52382,0.00000,1.62382
0.12800,0.05000,1.52477,0.00000,1.62477
0.12900,0.05000,1.52571,0.00000,1.62571
0.13000,0.05000,1.52666,0.00000,1.62666
0.13100,0.05000,1.52761,0.00000,1.62761
0.13200,0.05000,1.52855,0.00000,1.62855
0.13300,0.05000,1.52950,0.00000,1.62950
0.13400,0.05000,1.53044,0.00000,1.63044
0.13500,0.05000,1.53138,0.00000,1.63138
0.13600,0.05000,1.53233,0.00000,1.63233
0.13700,0.05000,1.53327,0.00000,1.63327
0.13800,0.05000,1.53421,0.00000,1.63421
0.13900,0.05000,1.53515,0.00000,1.63515
0.14000,0.05000,1.53610,0.00000,1.63610
0.14100,0.05000,1.53704,0.00000,1.63704
0.14200,0.05000,1.53798,0.00000,1.63798
0.14300,0.05000,1.53892,0.00000,1.63892
0.14400,0.05000,1.53986,0.00000,1.63986
0.14500,0.05000,1.54080,0.00000,1.64080
0.14600,0.05000,1.54173,0.00000,1.64173
0.14700,0.05000,1.54267,0.00000,1.64267
0.14800,0.05000,1.54361,0.00000,1.64361
0.14900,0.05000,1.54455,0.00000,1.64455
0.15000,0.05000,1.54548,0.00000,1.64548
0.15100,0.05000,1.54642,0.00000,1.64642
0.15200,0.05000,1.54735,0.00000,1.64735
0.15300,0.05000,1.54829,0.00000,1.64829
0.15400,0.05000,1.54922,0.00000,1.64922
0.15500,0.05000,1.55016,0.00000,1.65016
0.15600,0.05000,1.55109,0.00000,1.65109
0.15700,0.05000,1.55203,0.00000,1.65203
0.15800,0.05000,1.55296,0.00000,1.65296
0.15900,0.05000,1.55389,0.00000,1.65389
0.16000,0.05000,1.55482,0.00000,1.65482
0.16100,0.05000,1.55575,0.00000,1.65575
0.16200,0.05000,1.55668,0.00000,1.65668
0.16300,0.05000,1.55761,0.00000,1.65761
0.16400,0.05000,1.55854,0.00000,1.65854
0.16500,0.05000,1.55947,0.00000,1.65947
0.16600,0.05000,1.56040,0.00000,1.66040
0.16700,0.05000,1.56133,0.00000,1.66133
0.16800,0.05000,1.56226,0.00000,1.66226
0.16900,0.05000,1.56318,0.00000,1.66318
0.17000,0.05000,1.56411,0.00000,1.66411
0.17100,0.05000,1.56504,0.00000,1.66504
0.17200,0.05000,1.56596,0.00000,1.66596
0.17300,0.05000,1.56689,0.00000,1.66689
0.17400,0.05000,1.56781,0.00000,1.66781
0.17500,0.05000,1.56873,0.00000,1.66873
0.17600,0.05000,1.56966,0.00000,1.66966
0.17700,0.05000,1.57058,0.00000,1.67058
0.17800,0.05000,1.57150,0.00000,1.67150
0.17900,0.05000,1.57242,0.00000,1.67242
0.18000,0.05000,1.57335,0.00000,1.67335
0.18100,0.05000,1.57427,0.00000,1.67427
0.18200,0.05000,1.57519,0.00000,1.67519
0.18300,0.05000,1.57611,0.00000,1.67611
0.18400,0.05000,1.57703,0.00000,1.67703
0.18500,0.05000,1.57794,0.00000,1.67794
0.18600,0.05000,1.57886,0.00000,1.67886
0.18700,0.05000,1.57978,0.00000,1.67978
0.18800,0.05000,1.58070,0.00000,1.68070
0.18900,0.05000,1.58161,0.00000,1.68161
0.19000,0.05000,1.58253,0.00000,1.68253
0.19100,0.05000,1.58344,0.00000,1.68344
0.19200,0.05000,1.58436,0.00000,1.68436
0.19300,0.05000,1.58527,0.00000,1.68527
0.19400,0.05000,1.58619,0.00000,1.68619
0.19500,0.05000,1.58710,0.00000,1.68710
0.19600,0.05000,1.58801,0.00000,1.68801
0.19700,0.05000,1.58893,0.00000,1.68893
0.19800,0.05000,1.58984,0.00000,1.68984
0.19900,0.05000,1.59075,0.00000,1.69075
0.20000,0.05000,1.59166,0.00000,1.69166
0.20100,0.05000,1.59257,0.00000,1.69257
0.20200,0.05000,1.59348,0.00000,1.69348
