Time,Spring_0:a_end,Spring_0:b_end,Ball0:x,Ball1:x
1.10000,0.24877,1.25123,0.14877,1.35123
1.11000,0.25090,1.24910,0.15090,1.34910
1.12000,0.25302,1.24698,0.15302,1.34698
1.13000,0.25514,1.24486,0.15514,1.34486
1.14000,0.25726,1.24274,0.15726,1.34274
1.15000,0.25938,1.24062,0.15938,1.34062
1.16000,0.26150,1.23850,0.16150,1.33850
1.17000,0.26361,1.23639,0.16361,1.33639
1.18000,0.26572,1.23428,0.16572,1.33428
1.19000,0.26783,1.23217,0.16783,1.33217
1.20000,0.26994,1.23006,0.16994,1.33006
1.21000,0.27204,1.22796,0.17204,1.32796
1.22000,0.27413,1.22587,0.17413,1.32587
1.23000,0.27623,1.22377,0.17623,1.32377
1.24000,0.27831,1.22169,0.17831,1.32169
1.25000,0.28039,1.21961,0.18039,1.31961
1.26000,0.28247,1.21753,0.18247,1.31753
1.27000,0.28454,1.21546,0.18454,1.31546
1.28000,0.28660,1.21340,0.18660,1.31340
1.29000,0.28865,1.21135,0.18865,1.31135
1.30000,0.29070,1.20930,0.19070,1.30930
1.31000,0.29274,1.20726,0.19274,1.30726
1.32000,0.29477,1.20523,0.19477,1.30523
1.33000,0.29679,1.20321,0.19679,1.30321
1.34000,0.29880,1.20120,0.19880,1.30120
1.35000,0.30080,1.19920,0.20080,1.29920
1.36000,0.30280,1.19720,0.20280,1.29720
1.37000,0.30478,1.19522,0.20478,1.29522
1.38000,0.30675,1.19325,0.20675,1.29325
1.39000,0.30871,1.19129,0.20871,1.29129
1.40000,0.31065,1.18935,0.21065,1.28935
1.41000,0.31259,1.18741,0.21259,1.28741
1.42000,0.31451,1.18549,0.21451,1.28549
1.43000,0.31642,1.18358,0.21642,1.28358
1.44000,0.31832,1.18168,0.21832,1.28168
1.45000,0.32020,1.17980,0.22020,1.27980
1.46000,0.32207,1.17793,0.22207,1.27793
1.47000,0.32392,1.17608,0.22392,1.27608
1.48000,0.32576,1.17424,0.22576,1.27424
1.49000,0.32759,1.17241,0.22759,1.27241
1.50000,0.32940,1.17060,0.22940,1.27060
1.51000,0.33119,1.16881,0.23119,1.26881
1.52000,0.33297,1.16703,0.23297,1.26703
1.53000,0.33473,1.16527,0.23473,1.26527
1.54000,0.33647,1.16353,0.23647,1.26353
1.55000,0.33820,1.16180,0.23820,1.26180
1.56000,0.33990,1.16010,0.23990,1.26010
1.57000,0.34159,1.15841,0.24159,1.25841
1.58000,0.34327,1.15673,0.24327,1.25673
1.59000,0.34492,1.15508,0.24492,1.25508
1.60000,0.34655,1.15345,0.24655,1.25345
1.61000,0.34817,1.15183,0.24817,1.25183
1.62000,0.34976,1.15024,0.24976,1.25024
1.63000,0.35134,1.14866,0.25134,1.24866
1.64000,0.35290,1.14710,0.25290,1.24710
1.65000,0.35443,1.14557,0.25443,1.24557
1.66000,0.35594,1.14406,0.25594,1.24406
1.67000,0.35744,1.14256,0.25744,1.24256
1.68000,0.35891,1.14109,0.25891,1.24109
1.69000,0.36036,1.13964,0.26036,1.23964
1.70000,0.36178,1.13822,0.26178,1.23822
1.71000,0.36319,1.13681,0.26319,1.23681
1.72000,0.36457,1.13543,0.26457,1.23543
1.73000,0.36593,1.13407,0.26593,1.23407
1.74000,0.36727,1.13273,0.26727,1.23273
1.75000,0.36858,1.13142,0.26858,1.23142
1.76000,0.36987,1.13013,0.26987,1.23013
1.77000,0.37113,1.12887,0.27113,1.22887
1.78000,0.37238,1.12762,0.27238,1.22762
1.79000,0.37359,1.12641,0.27359,1.22641
1.80000,0.37478,1.12522,0.27478,1.22522
1.81000,0.37595,1.12405,0.27595,1.22405
1.82000,0.37709,1.12291,0.27709,1.22291
1.83000,0.37821,1.12179,0.27821,1.22179
1.84000,0.37930,1.12070,0.27930,1.22070
1.85000,0.38036,1.11964,0.28036,1.21964
1.86000,0.38140,1.11860,0.28140,1.21860
1.87000,0.38241,1.11759,0.28241,1.21759
1.88000,0.38340,1.11660,0.28340,1.21660
1.89000,0.38436,1.11564,0.28436,1.21564
1.90000,0.38529,1.11471,0.28529,1.21471
1.91000,0.38620,1.11380,0.28620,1.21380
1.92000,0.38707,1.11293,0.28707,1.21293
1.93000,0.38792,1.11208,0.28792,1.21208
1.94000,0.38875,1.11125,0.28875,1.21125
1.95000,0.38954,1.11046,0.28954,1.21046
1.96000,0.39031,1.10969,0.29031,1.20969
1.97000,0.39105,1.10895,0.29105,1.20895
1.98000,0.39176,1.10824,0.29176,1.20824
1.99000,0.39244,1.10756,0.29244,1.20756
2.00000,0.39310,1.10690,0.29310,1.20690
2.01000,0.39372,1.10628,0.29372,1.20628
2.02000,0.39432,1.10568,0.29432,1.20568
2.03000,0.39489,1.10511,0.29489,1.20511
2.04000,0.39543,1.10457,0.29543,1.20457
2.05000,0.39594,1.10406,0.29594,1.20406
2.06000,0.39642,1.10358,0.29642,1.20358
2.07000,0.39687,1.10313,0.29687,1.20313
2.08000,0.39729,1.10271,0.29729,1.20271
2.09000,0.39768,1.10232,0.29768,1.20232
2.10000,0.39805,1.10195,0.29805,1.20195
2.11000,0.39838,1.10162,0.29838,1.20162
2.12000,0.39868,1.10132,0.29868,1.20132
2.13000,0.39896,1.10104,0.29896,1.20104
2.14000,0.39920,1.10080,0.29920,1.20080
2.15000,0.39942,1.10058,0.29942,1.20058
2.16000,0.39960,1.10040,0.29960,1.20040
2.17000,0.39976,1.10024,0.29976,1.20024
2.18000,0.39988,1.10012,0.29988,1.20012
2.19000,0.39997,1.10003,0.29997,1.20003
2.20000,0.40004,1.09996,0.30004,1.19996
2.21000,0.40007,1.09993,0.30007,1.19993
2.22000,0.40008,1.09992,0.30008,1.19992
2.23000,0.40005,1.09995,0.30005,1.19995
2.24000,0.40000,1.10000,0.30000,1.20000
2.25000,0.39991,1.10009,0.29991,1.20009
2.26000,0.39980,1.10020,0.29980,1.20020
2.27000,0.39965,1.10035,0.29965,1.20035
2.28000,0.39948,1.10052,0.29948,1.20052
2.29000,0.39927,1.10073,0.29927,1.20073
2.30000,0.39904,1.10096,0.29904,1.20096
2.31000,0.39877,1.10123,0.29877,1.20123
2.32000,0.39848,1.10152,0.29848,1.20152
2.33000,0.39815,1.10185,0.29815,1.20185
2.34000,0.39780,1.10220,0.29780,1.20220
2.35000,0.39742,1.10258,0.29742,1.20258
2.36000,0.39700,1.10300,0.29700,1.20300
2.37000,0.39656,1.10344,0.29656,1.20344
2.38000,0.39609,1.10391,0.29609,1.20391
2.39000,0.39559,1.10441,0.29559,1.20441
2.40000,0.39506,1.10494,0.29506,1.20494
2.41000,0.39450,1.10550,0.29450,1.20550
2.42000,0.39391,1.10609,0.29391,1.20609
2.43000,0.39329,1.10671,0.29329,1.20671
2.44000,0.39265,1.10735,0.29265,1.20735
2.45000,0.39197,1.10803,0.29197,1.20803
2.46000,0.39127,1.10873,0.29127,1.20873
2.47000,0.39054,1.10946,0.29054,1.20946
2.48000,0.38978,1.11022,0.28978,1.21022
2.49000,0.38900,1.11100,0.28900,1.21100
2.50000,0.38818,1.11182,0.28818,1.21182
2.51000,0.38734,1.11266,0.28734,1.21266
2.52000,0.38647,1.11353,0.28647,1.21353
2.53000,0.38557,1.11443,0.28557,1.21443
2.54000,0.38465,1.11535,0.28465,1.21535
2.55000,0.38370,1.11630,0.28370,1.21630
2.56000,0.38272,1.11728,0.28272,1.21728
2.57000,0.38172,1.11828,0.28172,1.21828
2.58000,0.38069,1.11931,0.28069,1.21931
2.59000,0.37963,1.12037,0.27963,1.22037
2.60000,0.37855,1.12145,0.27855,1.22145
2.61000,0.37744,1.12256,0.27744,1.22256
2.62000,0.37630,1.12370,0.27630,1.22370
2.63000,0.37515,1.12485,0.27515,1.22485
2.64000,0.37396,1.12604,0.27396,1.22604
2.65000,0.37275,1.12725,0.27275,1.22725
2.66000,0.37152,1.12848,0.27152,1.22848
2.67000,0.37026,1.12974,0.27026,1.22974
2.68000,0.36898,1.13102,0.26898,1.23102
2.69000,0.36767,1.13233,0.26767,1.23233
2.70000,0.36634,1.13366,0.26634,1.23366
2.71000,0.36499,1.13501,0.26499,1.23501
2.72000,0.36362,1.13638,0.26362,1.23638
2.73000,0.36222,1.13778,0.26222,1.23778
2.74000,0.36080,1.13920,0.26080,1.23920
2.75000,0.35935,1.14065,0.25935,1.24065
2.76000,0.35789,1.14211,0.25789,1.24211
2.77000,0.35640,1.14360,0.25640,1.24360
2.78000,0.35490,1.14510,0.25490,1.24510
2.79000,0.35337,1.14663,0.25337,1.24663
2.80000,0.35182,1.14818,0.25182,1.24818
2.81000,0.35025,1.14975,0.25025,1.24975
2.82000,0.34866,1.15134,0.24866,1.25134
2.83000,0.34705,1.15295,0.24705,1.25295
2.84000,0.34542,1.15458,0.24542,1.25458
2.85000,0.34377,1.15623,0.24377,1.25623
2.86000,0.34210,1.15790,0.24210,1.25790
2.87000,0.34042,1.15958,0.24042,1.25958
2.88000,0.33872,1.16128,0.23872,1.26128
2.89000,0.33700,1.16300,0.23700,1.26300
2.90000,0.33526,1.16474,0.23526,1.26474
2.91000,0.33350,1.16650,0.23350,1.26650
2.92000,0.33173,1.16827,0.23173,1.26827
2.93000,0.32994,1.17006,0.22994,1.27006
2.94000,0.32814,1.17186,0.22814,1.27186
2.95000,0.32632,1.17368,0.22632,1.27368
2.96000,0.32448,1.17552,0.22448,1.27552
2.97000,0.32263,1.17737,0.22263,1.27737
2.98000,0.32077,1.17923,0.22077,1.27923
2.99000,0.31889,1.18111,0.21889,1.28111
3.00000,0.31699,1.18301,0.21699,1.28301
3.01000,0.31509,1.18491,0.21509,1.28491
3.02000,0.31317,1.18683,0.21317,1.28683
3.03000,0.31124,1.18876,0.21124,1.28876
3.04000,0.30929,1.19071,0.20929,1.29071
3.05000,0.30734,1.19266,0.20734,1.29266
3.06000,0.30537,1.19463,0.20537,1.29463
3.07000,0.30339,1.19661,0.20339,1.29661
3.08000,0.30140,1.19860,0.20140,1.29860
3.09000,0.29940,1.20060,0.19940,1.30060
3.10000,0.29739,1.20261,0.19739,1.30261
3.11000,0.29537,1.20463,0.19537,1.30463
3.12000,0.29335,1.20665,0.19335,1.30665
3.13000,0.29131,1.20869,0.19131,1.30869
3.14000,0.28926,1.21074,0.18926,1.31074
3.15000,0.28721,1.21279,0.18721,1.31279
3.16000,0.28515,1.21485,0.18515,1.31485
3.17000,0.28308,1.21692,0.18308,1.31692
3.18000,0.28101,1.21899,0.18101,1.31899
3.19000,0.27893,1.22107,0.17893,1.32107
3.20000,0.27684,1.22316,0.17684,1.32316
3.21000,0.27475,1.22525,0.17475,1.32525
3.22000,0.27266,1.22734,0.17266,1.32734
3.23000,0.27055,1.22945,0.17055,1.32945
3.24000,0.26845,1.23155,0.16845,1.33155
3.25000,0.26634,1.23366,0.16634,1.33366
3.26000,0.26423,1.23577,0.16423,1.33577
3.27000,0.26211,1.23789,0.16211,1.33789
3.28000,0.26000,1.24000,0.16000,1.34000
3.29000,0.25788,1.24212,0.15788,1.34212
3.30000,0.25576,1.24424,0.15576,1.34424
3.31000,0.25364,1.24636,0.15364,1.34636
3.32000,0.25151,1.24849,0.15151,1.34849
3.33000,0.24939,1.25061,0.14939,1.35061
3.34000,0.24727,1.25273,0.14727,1.35273
3.35000,0.24514,1.25486,0.14514,1.35486
3.36000,0.24302,1.25698,0.14302,1.35698
3.37000,0.24090,1.25910,0.14090,1.35910
3.38000,0.23878,1.26122,0.13878,1.36122
3.39000,0.23667,1.26333,0.13667,1.36333
3.40000,0.23456,1.26544,0.13456,1.36544
3.41000,0.23245,1.26755,0.13245,1.36755
3.42000,0.23034,1.26966,0.13034,1.36966
3.43000,0.22824,1.27176,0.12824,1.37176
3.44000,0.22614,1.27386,0.12614,1.37386
3.45000,0.22404,1.27596,0.12404,1.37596
3.46000,0.22196,1.27804,0.12196,1.37804
3.47000,0.21987,1.28013,0.11987,1.38013
3.48000,0.21780,1.28220,0.11780,1.38220
3.49000,0.21573,1.28427,0.11573,1.38427
3.50000,0.21366,1.28634,0.11366,1.38634
3.51000,0.21161,1.28839,0.11161,1.38839
3.52000,0.20956,1.29044,0.10956,1.39044
3.53000,0.20752,1.29248,0.10752,1.39248
3.54000,0.20548,1.29452,0.10548,1.39452
3.55000,0.20346,1.29654,0.10346,1.39654
3.56000,0.20145,1.29855,0.10145,1.39855
3.57000,0.19944,1.30056,0.09944,1.40056
3.58000,0.19745,1.30255,0.09745,1.40255
3.59000,0.19547,1.30453,0.09547,1.40453
3.60000,0.19349,1.30651,0.09349,1.40651
3.61000,0.19153,1.30847,0.09153,1.40847
3.62000,0.18958,1.31042,0.08958,1.41042
3.63000,0.18764,1.31236,0.08764,1.41236
3.64000,0.18572,1.31428,0.08572,1.41428
