Time,Spring_0:a_end,Spring_0:b_end,Ball0:x,Ball1:x
0.00000,0.10000,1.46000,0.00000,1.56000
0.01000,0.10501,1.45999,0.00501,1.55999
0.02000,0.11005,1.45995,0.01005,1.55995
0.03000,0.11510,1.45990,0.01510,1.55990
0.04000,0.12017,1.45983,0.02017,1.55983
0.05000,0.12526,1.45974,0.02526,1.55974
0.06000,0.13036,1.45964,0.03036,1.55964
0.07000,0.13548,1.45952,0.03548,1.55952
0.08000,0.14062,1.45938,0.04062,1.55938
0.09000,0.14577,1.45923,0.04577,1.55923
0.10000,0.15094,1.45906,0.05094,1.55906
0.11000,0.15612,1.45888,0.05612,1.55888
0.12000,0.16132,1.45868,0.06132,1.55868
0.13000,0.16654,1.45846,0.06654,1.55846
0.14000,0.17176,1.45824,0.07176,1.55824
0.15000,0.17701,1.45799,0.07701,1.55799
0.16000,0.18226,1.45774,0.08226,1.55774
0.17000,0.18753,1.45747,0.08753,1.55747
0.18000,0.19282,1.45718,0.09282,1.55718
0.19000,0.19811,1.45689,0.09811,1.55689
0.20000,0.20342,1.45658,0.10342,1.55658
0.21000,0.20875,1.45625,0.10875,1.55625
0.22000,0.21408,1.45592,0.11408,1.55592
0.23000,0.21943,1.45557,0.11943,1.55557
0.24000,0.22479,1.45521,0.12479,1.55521
0.25000,0.23016,1.45484,0.13016,1.55484
0.26000,0.23554,1.45446,0.13554,1.55446
0.27000,0.24093,1.45407,0.14093,1.55407
0.28000,0.24634,1.45366,0.14634,1.55366
0.29000,0.25175,1.45325,0.15175,1.55325
0.30000,0.25718,1.45282,0.15718,1.55282
0.31000,0.26261,1.45239,0.16261,1.55239
0.32000,0.26805,1.45195,0.16805,1.55195
0.33000,0.27350,1.45150,0.17350,1.55150
0.34000,0.27897,1.45103,0.17897,1.55103
0.35000,0.28444,1.45056,0.18444,1.55056
0.36000,0.28991,1.45009,0.18991,1.55009
0.37000,0.29540,1.44960,0.19540,1.54960
0.38000,0.30089,1.44911,0.20089,1.54911
0.39000,0.30640,1.44860,0.20640,1.54860
0.40000,0.31190,1.44810,0.21190,1.54810
0.41000,0.31742,1.44758,0.21742,1.54758
0.42000,0.32294,1.44706,0.22294,1.54706
0.43000,0.32847,1.44653,0.22847,1.54653
0.44000,0.33400,1.44600,0.23400,1.54600
0.45000,0.33954,1.44546,0.23954,1.54546
0.46000,0.34509,1.44491,0.24509,1.54491
0.47000,0.35064,1.44436,0.25064,1.54436
0.48000,0.35619,1.44381,0.25619,1.54381
0.49000,0.36175,1.44325,0.26175,1.54325
0.50000,0.36731,1.44269,0.26731,1.54269
0.51000,0.37288,1.44212,0.27288,1.54212
0.52000,0.37845,1.44155,0.27845,1.54155
0.53000,0.38402,1.44098,0.28402,1.54098
0.54000,0.38960,1.44040,0.28960,1.54040
0.55000,0.39518,1.43982,0.29518,1.53982
0.56000,0.40076,1.43924,0.30076,1.53924
0.57000,0.40634,1.43866,0.30634,1.53866
0.58000,0.41193,1.43807,0.31193,1.53807
0.59000,0.41751,1.43749,0.31751,1.53749
0.60000,0.42310,1.43690,0.32310,1.53690
0.61000,0.42869,1.43631,0.32869,1.53631
0.62000,0.43428,1.43572,0.33428,1.53572
0.63000,0.43986,1.43514,0.33986,1.53514
0.64000,0.44545,1.43455,0.34545,1.53455
0.65000,0.45104,1.43396,0.35104,1.53396
0.66000,0.45663,1.43337,0.35663,1.53337
0.67000,0.46221,1.43279,0.36221,1.53279
0.68000,0.46780,1.43220,0.36780,1.53220
0.69000,0.47338,1.43162,0.37338,1.53162
0.70000,0.47896,1.43104,0.37896,1.53104
0.71000,0.48453,1.43047,0.38453,1.53047
0.72000,0.49011,1.42989,0.39011,1.52989
0.73000,0.49568,1.42932,0.39568,1.52932
0.74000,0.50125,1.42875,0.40125,1.52875
0.75000,0.50681,1.42819,0.40681,1.52819
0.76000,0.51238,1.42762,0.41238,1.52762
0.77000,0.51793,1.42707,0.41793,1.52707
0.78000,0.52349,1.42651,0.42349,1.52651
0.79000,0.52903,1.42597,0.42903,1.52597
0.80000,0.53457,1.42543,0.43457,1.52543
0.81000,0.54011,1.42489,0.44011,1.52489
0.82000,0.54564,1.42436,0.44564,1.52436
0.83000,0.55117,1.42383,0.45117,1.52383
0.84000,0.55669,1.42331,0.45669,1.52331
0.85000,0.56220,1.42280,0.46220,1.52280
0.86000,0.56770,1.42230,0.46770,1.52230
0.87000,0.57320,1.42180,0.47320,1.52180
0.88000,0.57869,1.42131,0.47869,1.52131
0.89000,0.58417,1.42083,0.48417,1.52083
0.90000,0.58965,1.42035,0.48965,1.52035
0.91000,0.59511,1.41989,0.49511,1.51989
0.92000,0.60057,1.41943,0.50057,1.51943
0.93000,0.60602,1.41898,0.50602,1.51898
0.94000,0.61146,1.41854,0.51146,1.51854
0.95000,0.61689,1.41811,0.51689,1.51811
0.96000,0.62230,1.41770,0.52230,1.51770
0.97000,0.62771,1.41729,0.52771,1.51729
0.98000,0.63311,1.41689,0.53311,1.51689
0.99000,0.63850,1.41650,0.53850,1.51650
1.00000,0.64388,1.41612,0.54388,1.51612
1.01000,0.64924,1.41576,0.54924,1.51576
1.02000,0.65459,1.41541,0.55459,1.51541
1.03000,0.65994,1.41506,0.55994,1.51506
1.04000,0.66526,1.41474,0.56526,1.51474
1.05000,0.67058,1.41442,0.57058,1.51442
1.06000,0.67588,1.41412,0.57588,1.51412
1.07000,0.68118,1.41382,0.58118,1.51382
1.08000,0.68645,1.41355,0.58645,1.51355
1.09000,0.69172,1.41328,0.59172,1.51328
1.10000,0.69697,1.41303,0.59697,1.51303
1.11000,0.70220,1.41280,0.60220,1.51280
1.12000,0.70742,1.41258,0.60742,1.51258
1.13000,0.71263,1.41237,0.61263,1.51237
1.14000,0.71782,1.41218,0.61782,1.51218
1.15000,0.72300,1.41200,0.62300,1.51200
1.16000,0.72816,1.41184,0.62816,1.51184
1.17000,0.73330,1.41170,0.63330,1.51170
1.18000,0.73843,1.41157,0.63843,1.51157
1.19000,0.74354,1.41146,0.64354,1.51146
1.20000,0.74864,1.41136,0.64864,1.51136
1.21000,0.75372,1.41128,0.65372,1.51128
1.22000,0.75878,1.41122,0.65878,1.51122
1.23000,0.76382,1.41118,0.66382,1.51118
1.24000,0.76885,1.41115,0.66885,1.51115
1.25000,0.77386,1.41114,0.67386,1.51114
1.26000,0.77885,1.41115,0.67885,1.51115
1.27000,0.78382,1.41118,0.68382,1.51118
1.28000,0.78878,1.41122,0.68878,1.51122
1.29000,0.79371,1.41129,0.69371,1.51129
1.30000,0.79863,1.41137,0.69863,1.51137
1.31000,0.80352,1.41148,0.70352,1.51148
1.32000,0.80840,1.41160,0.70840,1.51160
1.33000,0.81326,1.41174,0.71326,1.51174
1.34000,0.81809,1.41191,0.71809,1.51191
1.35000,0.82291,1.41209,0.72291,1.51209
1.36000,0.82771,1.41229,0.72771,1.51229
1.37000,0.83248,1.41252,0.73248,1.51252
1.38000,0.83724,1.41276,0.73724,1.51276
1.39000,0.84197,1.41303,0.74197,1.51303
1.40000,0.84668,1.41332,0.74668,1.51332
1.41000,0.85137,1.41363,0.75137,1.51363
1.42000,0.85604,1.41396,0.75604,1.51396
1.43000,0.86068,1.41432,0.76068,1.51432
1.44000,0.86531,1.41469,0.76531,1.51469
1.45000,0.86991,1.41509,0.76991,1.51509
1.46000,0.87449,1.41551,0.77449,1.51551
1.47000,0.87904,1.41596,0.77904,1.51596
1.48000,0.88358,1.41642,0.78358,1.51642
1.49000,0.88808,1.41692,0.78808,1.51692
1.50000,0.89257,1.41743,0.79257,1.51743
1.51000,0.89703,1.41797,0.79703,1.51797
1.52000,0.90147,1.41853,0.80147,1.51853
1.53000,0.90588,1.41912,0.80588,1.51912
1.54000,0.91027,1.41973,0.81027,1.51973
1.55000,0.91464,1.42036,0.81464,1.52036
1.56000,0.91898,1.42102,0.81898,1.52102
1.57000,0.92329,1.42171,0.82329,1.52171
1.58000,0.92758,1.42242,0.82758,1.52242
1.59000,0.93185,1.42315,0.83185,1.52315
1.60000,0.93609,1.42391,0.83609,1.52391
1.61000,0.94030,1.42470,0.84030,1.52470
1.62000,0.94449,1.42551,0.84449,1.52551
1.63000,0.94865,1.42635,0.84865,1.52635
1.64000,0.95278,1.42722,0.85278,1.52722
1.65000,0.95689,1.42811,0.85689,1.52811
1.66000,0.96098,1.42902,0.86098,1.52902
1.67000,0.96503,1.42997,0.86503,1.52997
1.68000,0.96906,1.43094,0.86906,1.53094
1.69000,0.97307,1.43193,0.87307,1.53193
1.70000,0.97704,1.43296,0.87704,1.53296
1.71000,0.98099,1.43401,0.88099,1.53401
1.72000,0.98491,1.43509,0.88491,1.53509
1.73000,0.98881,1.43619,0.88881,1.53619
1.74000,0.99267,1.43733,0.89267,1.53733
1.75000,0.99651,1.43849,0.89651,1.53849
1.76000,1.00032,1.43968,0.90032,1.53968
1.77000,1.00410,1.44090,0.90410,1.54090
1.78000,1.00786,1.44214,0.90786,1.54214
1.79000,1.01158,1.44342,0.91158,1.54342
1.80000,1.01528,1.44472,0.91528,1.54472
1.81000,1.01895,1.44605,0.91895,1.54605
1.82000,1.02259,1.44741,0.92259,1.54741
1.83000,1.02620,1.44880,0.92620,1.54880
1.84000,1.02979,1.45021,0.92979,1.55021
1.85000,1.03334,1.45166,0.93334,1.55166
1.86000,1.03686,1.45314,0.93686,1.55314
1.87000,1.04036,1.45464,0.94036,1.55464
1.88000,1.04383,1.45617,0.94383,1.55617
1.89000,1.04726,1.45774,0.94726,1.55774
1.90000,1.05067,1.45933,0.95067,1.55933
1.91000,1.05405,1.46095,0.95405,1.56095
1.92000,1.05740,1.46260,0.95740,1.56260
1.93000,1.06071,1.46429,0.96071,1.56429
1.94000,1.06400,1.46600,0.96400,1.56600
1.95000,1.06726,1.46774,0.96726,1.56774
1.96000,1.07049,1.46951,0.97049,1.56951
1.97000,1.07369,1.47131,0.97369,1.57131
1.98000,1.07686,1.47314,0.97686,1.57314
1.99000,1.08000,1.47500,0.98000,1.57500
2.00000,1.08311,1.47689,0.98311,1.57689
2.01000,1.08618,1.47882,0.98618,1.57882
2.02000,1.08923,1.48077,0.98923,1.58077
2.03000,1.09225,1.48275,0.99225,1.58275
2.04000,1.09523,1.48477,0.99523,1.58477
2.05000,1.09819,1.48681,0.99819,1.58681
2.06000,1.10112,1.48888,1.00112,1.58888
2.07000,1.10401,1.49099,1.00401,1.59099
2.08000,1.10687,1.49313,1.00687,1.59313
2.09000,1.10971,1.49529,1.00971,1.59529
2.10000,1.11251,1.49749,1.01251,1.59749
2.11000,1.11528,1.49972,1.01528,1.59972
2.12000,1.11802,1.50198,1.01802,1.60198
2.13000,1.12074,1.50426,1.02074,1.60426
2.14000,1.12341,1.50659,1.02341,1.60659
2.15000,1.12606,1.50894,1.02606,1.60894
2.16000,1.12868,1.51132,1.02868,1.61132
2.17000,1.13127,1.51373,1.03127,1.61373
2.18000,1.13383,1.51617,1.03383,1.61617
2.19000,1.13635,1.51865,1.03635,1.61865
2.20000,1.13884,1.52116,1.03884,1.62116
2.21000,1.14131,1.52369,1.04131,1.62369
2.22000,1.14374,1.52626,1.04374,1.62626
2.23000,1.14614,1.52886,1.04614,1.62886
2.24000,1.14851,1.53149,1.04851,1.63149
2.25000,1.15085,1.53415,1.05085,1.63415
2.26000,1.15316,1.53684,1.05316,1.63684
2.27000,1.15544,1.53956,1.05544,1.63956
